rsuid,RedSideUp,rsdid,RedSideDown,bsuid,BlueSideUp,bsdid,BlueSideDown
C001,AVATAR,C002,CAESAR,D001,TITANIC,D002,LIGHTNING
C003,STAR TREK,C004,NOODLE,D003,GOTHIC,D004,PLAYSTATION
C005,EMPIRE,C006,PICASSO,D005,GLADIATOR,D006,TV SHOW
C007,MICHAEL JACKSON,C008,MOZART,D007,GODFATHER,D008,PANDA
C009,CONSTELLATION,C010,TARANTINO,D009,TERMINATOR,D010,PORCELAIN
C011,YOUTUBE,C012,PONY,D011,EVEREST,D012,KARATE
C013,AMERICA,C014,SHIP,D013,SAUSAGE,D014,KARAOKE
C015,EUROPE,C016,CROSSROADS,D015,MEXICO,D016,FAIRY
C017,SCISSORS,C018,DARWIN,D017,HOLLYWOOD,D018,HALLOWEEN
C019,MICROSOFT,C020,HARRY POTTER,D019,SHARK,D020,ELASTIC
C021,CHAMPAGNE,C022,GALAXY,D021,LAS VEGAS,D022,EASTER
C023,SAFARI,C024,CUPID,D023,GUARDIAN,D024,CHRISTMAS
C025,CINDERELLA,C026,NUCLEAR,D025,TOOL,D026,AMAZON
C027,TAXI,C028,PEANUT,D027,POLAR,D028,MUSKATEER
C029,SHREK,C030,MARIO,D029,TENNIS,D030,NINTENDO
C031,VIKING,C032,COMEDY,D031,BILLIARDS,D032,RUM
C033,HULK,C034,POKEMON,D033,COUGAR,D034,OPERATION
C035,TARZAN,C036,DRACULA,D035,SWISS,D036,TANGO
C037,GODZILLA,C038,ELECTRICITY,D037,ALCATRAZ,D038,CYCLE
C039,RAMBO,C040,JOKER,D039,SMOKE,D040,LEGO
C041,RAGGAE,C042,BIRTHDAY,D041,GRENADE,D042,FACEBOOK
C043,MANURE,C044,SHERLOCK HOLMES,D043,CLEOPATRA,D044,MONOPOLY
C045,ROCKY,C046,FRANKENSTEIN,D045,ELVIS,D046,CROCODILE
C047,MATRIX,C048,BARBIE,D047,STEVEN SPIELBERG,D048,GANDHI
